"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"ABM_Unit4_model7.nlogox"
"social-influence-experiment"
"07/08/2026 16:45:24:111 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","broadcast","density","social","frac-influential","m","network","influential-weight","[step]","count turtles with [adopted?]","count regulars with [adopted?]","count influentials with  [adopted?]"
"5","0.01","0.3","0.1","0.25","100","random","0.7","78","99","75","24"
"5","0.01","0.3","0.1","0.25","100","random","0.7","79","99","75","24"
"8","0.01","0.3","0.1","0.25","100","random","0.7","7","9","5","4"
"5","0.01","0.3","0.1","0.25","100","random","0.7","80","99","75","24"
"5","0.01","0.3","0.1","0.25","100","random","0.7","81","99","75","24"
"5","0.01","0.3","0.1","0.25","100","random","0.7","82","99","75","24"
"7","0.01","0.3","0.1","0.25","100","random","0.7","13","28","21","7"
"5","0.01","0.3","0.1","0.25","100","random","0.7","83","99","75","24"
"5","0.01","0.3","0.1","0.25","100","random","0.7","84","100","75","25"
"3","0.01","0.3","0.1","0.25","100","random","0.7","21","31","22","9"
"7","0.01","0.3","0.1","0.25","100","random","0.7","14","35","24","11"
"8","0.01","0.3","0.1","0.25","100","random","0.7","8","10","5","5"
"7","0.01","0.3","0.1","0.25","100","random","0.7","15","35","24","11"
"8","0.01","0.3","0.1","0.25","100","random","0.7","9","11","6","5"
"7","0.01","0.3","0.1","0.25","100","random","0.7","16","39","27","12"
"3","0.01","0.3","0.1","0.25","100","random","0.7","22","36","26","10"
"8","0.01","0.3","0.1","0.25","100","random","0.7","10","12","6","6"
"7","0.01","0.3","0.1","0.25","100","random","0.7","17","42","29","13"
"1","0.01","0.3","0.1","0.25","100","random","0.7","9","10","6","4"
"8","0.01","0.3","0.1","0.25","100","random","0.7","11","14","6","8"
"7","0.01","0.3","0.1","0.25","100","random","0.7","18","45","30","15"
"3","0.01","0.3","0.1","0.25","100","random","0.7","23","40","29","11"
"7","0.01","0.3","0.1","0.25","100","random","0.7","19","53","35","18"
"8","0.01","0.3","0.1","0.25","100","random","0.7","12","20","10","10"
"3","0.01","0.3","0.1","0.25","100","random","0.7","24","43","32","11"
"7","0.01","0.3","0.1","0.25","100","random","0.7","20","54","36","18"
"9","0.01","0.3","0.1","0.25","100","random","0.7","0","0","0","0"
"1","0.01","0.3","0.1","0.25","100","random","0.7","10","10","6","4"
"7","0.01","0.3","0.1","0.25","100","random","0.7","21","58","40","18"
"8","0.01","0.3","0.1","0.25","100","random","0.7","13","22","11","11"
"7","0.01","0.3","0.1","0.25","100","random","0.7","22","61","43","18"
"3","0.01","0.3","0.1","0.25","100","random","0.7","25","45","34","11"
"9","0.01","0.3","0.1","0.25","100","random","0.7","1","1","1","0"
"7","0.01","0.3","0.1","0.25","100","random","0.7","23","66","46","20"
"3","0.01","0.3","0.1","0.25","100","random","0.7","26","45","34","11"
"7","0.01","0.3","0.1","0.25","100","random","0.7","24","68","48","20"
"9","0.01","0.3","0.1","0.25","100","random","0.7","2","3","3","0"
"7","0.01","0.3","0.1","0.25","100","random","0.7","25","73","53","20"
"7","0.01","0.3","0.1","0.25","100","random","0.7","26","77","57","20"
"9","0.01","0.3","0.1","0.25","100","random","0.7","3","4","3","1"
"8","0.01","0.3","0.1","0.25","100","random","0.7","14","26","13","13"
"7","0.01","0.3","0.1","0.25","100","random","0.7","27","78","57","21"
"3","0.01","0.3","0.1","0.25","100","random","0.7","27","47","36","11"
"7","0.01","0.3","0.1","0.25","100","random","0.7","28","78","57","21"
"7","0.01","0.3","0.1","0.25","100","random","0.7","29","80","59","21"
"8","0.01","0.3","0.1","0.25","100","random","0.7","15","29","14","15"
"9","0.01","0.3","0.1","0.25","100","random","0.7","4","7","3","4"
"7","0.01","0.3","0.1","0.25","100","random","0.7","30","81","60","21"
"3","0.01","0.3","0.1","0.25","100","random","0.7","28","48","37","11"
"7","0.01","0.3","0.1","0.25","100","random","0.7","31","86","64","22"
"7","0.01","0.3","0.1","0.25","100","random","0.7","32","87","65","22"
"8","0.01","0.3","0.1","0.25","100","random","0.7","16","34","18","16"
"9","0.01","0.3","0.1","0.25","100","random","0.7","5","8","4","4"
"7","0.01","0.3","0.1","0.25","100","random","0.7","33","89","67","22"
"7","0.01","0.3","0.1","0.25","100","random","0.7","34","89","67","22"
"7","0.01","0.3","0.1","0.25","100","random","0.7","35","89","67","22"
